,text,face
1983, avril-juin.,"Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1984, Sols,"Font: 'Times-Roman' (serifed, proportional), size 9.23296, color #000000"
1985, siliceux en montagne.,"Font: 'Times-Roman' (serifed, proportional), size 9.23981, color #000000"
1986,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1987, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1988, Sannine,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.17824, color #000000"
1989," (Bnm,","Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1990," Mt, Np), Sud de Khan Sannine (Pb), Neba'-es-Succar, Sir (Mt, Gb).","Font: 'Times-Roman' (serifed, proportional), size 9.22761, color #000000"
1991,"Aire géogr. de l'espèce — Montagnes d'Anatolie, d'Arménie, de Transcaucasie et d'Iran","Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1992,occidental.,"Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1993,Rumex,"Font: 'Times-Roman' (serifed, proportional), size 9.17824, color #000000"
1994, patientia,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000"
1995, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
1996, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
1997," CXXVIII, n. 2). —","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
1998, 2J..,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
1999," Plante très robuste,","Font: 'Times-Roman' (serifed, proportional), size 10.9628, color #000000"
2000,"glabre. Rhizome court, rameux, à racines épaisses. Tige dressée, 90 cm. à 2 m. de","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2001,"haut, parfois 2 cm. d'épaisseur à la base, cannelée,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2002, souvent,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2003," teintée de rouge, ra-","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2004,"meuse. Feuilles ténues, planes, les basales oblongues, obtuses ou triangulaires au","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2005,"sommet, arrondies","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2006, ou,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2007," cordées à la base, assez longuement pétiolées. Feuilles cauli-","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2008,"naires décroissantes, brièvement pétiolées. Marges souvent ondulées, mais non cris-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2009,"pées. Fleurs hermaphrodites, ","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2010,"ou , en","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2011, pseudo-verticilles,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2012, sur les rameaux ou sur,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2013,"la tige, formant des sortes d'épis en panicule dense feuillée à la base. Verticillastres","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2014,"multiflores,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2015," souvent contigus. Pédoncules fructifères grêles, inégaux. Sépales externes","Font: 'Times-Roman' (serifed, proportional), size 10.9561, color #000000"
2016,"étroits,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2017, réfléchis,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2018," à la fructification. Valves arrondies, cordées à la base, 5-10 mm.","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2019,"de long, souvent rosées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2020,Ssp.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2021, orientalis,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2022, (Bernh.) Dausch —,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
2023, R. orientalis,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2024, Bernh. — Panicule rameuse,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
2025,"presque sans feuilles. Feuilles basales amples, jusqu'à plus de 30 cm. de long, à base","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2026,"plus ou moins cordée, les supérieures en coin à la base. Verticillastres peu distincts.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2027,390 ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2028,NOUVELLE FLORE,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
2029,"Valves de grande taille, cordées-orbiculaires, obtuses, entières ou très faiblement","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000"
2030,"denticulées, en général","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2031," blanc-verdâtre,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2032, une seule portant une callosité.,"Font: 'Times-Roman' (serifed, proportional), size 10.9706, color #000000"
2033,C'est cette ssp. qui croît en nos régions.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2034,"Floraison: mars-juin. Terrains fertiles, bien arrosés.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2035,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2036, Mi Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2037," Sir-ed-Dennié (Gb, Mt), Sir à Neba'-es-Souccar (P), Fnaideq (Mt), Ehden","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2038, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2039,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.87193, color #000000"
2040, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2041, Slenfé (JL).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2042,"Aire géogr. — La sous-espèce: Grèce, Turquie, Syrie, Liban. L'espèce: originaire de Hongrie,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2043,cultivée ailleurs.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2044,Rumex crispus,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2045, L.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
2046, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2047," CXXVIII, n. 3). —","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
2048, 2J..,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2049, Rhizome court. Tige dres-,"Font: 'Times-Roman' (serifed, proportional), size 10.9628, color #000000"
2050,"sée, robuste, 30 cm. à 1 m., anguleuse, glabre, ordinairement lavée de rouge-brun,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2051,"simple ou rameuse. Feuilles basales pétiolées à limbe assez épais, ferme, atteignant","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2052,"10-12 cm. de long sur 3 de large, aigu, glabre, ondulé-crispé sur les marges. Feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2053,"caulinaires décroissantes, les supérieures linéaires. Fleurs en verticillastres","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2054, multi-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2055,"flores, ordinairement denses, contigus, en panicule lâche ou dense, feuillée à la base.","Font: 'Times-Roman' (serifed, proportional), size 10.9373, color #000000"
2056,"Pédoncules fructifères assez grêles, articulés au-dessus du milieu. Sépales externes","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2057,"étalés, linéaires, obtus,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2058, |,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2059," de la largeur des valves. Celles-ci cordiformes, arrondies","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2060,"ou ovales,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2061, 3|-5,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2062," mm. de long, sur 4 de large, obtuses, réticulées, entières ou briève-","Font: 'Times-Roman' (serifed, proportional), size 11.2434, color #000000"
2063,"ment denticulées vers la base, toutes pourvues d'une callosité.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2064,Floraison:,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2065, avril-juillet.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2066," Bois, jardins, bord des ruisseaux.","Font: 'Times-Roman' (serifed, proportional), size 10.0024, color #000000"
2067,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2068, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2069, Plateau de,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2070, Hémi,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2071, entre le,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
2072, Jabal-ej-Jaj,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2073," et le Jab. Jrid (Bl), Ehmej (P), col de","Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
2074," Zahlé,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2075,Dimane (Mt).,"Font: 'Times-Roman' (serifed, proportional), size 9.9361, color #000000"
2076, Met.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2077," Chtaura (Pr, Bl).","Font: 'Times-Italic' (italic, serifed, proportional), size 10.0641, color #000000"
2078,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2079, A.L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2080, N. de Bloudane (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2081, H.J.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2082, Hassetché (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2083, Haur.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2084," Khabab (Mt), nord de Qneitra (Pb).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2085,Aire géogr. — Subcosmique.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2086,Rumex conglomerates,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2087, Murr.,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000"
2088, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2089," CXXIX,","Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000"
2090, n. 1). —,"Font: 'Times-Roman' (serifed, proportional), size 10.9791, color #000000"
2091, ¾.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2092," Rhizome court,","Font: 'Times-Roman' (serifed, proportional), size 11.0226, color #000000"
2093,"vertical, rameux. Tige dressée, 30-80 cm., droite ou flexueuse, simple ou à rameaux","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2094,"étalés-dressés, sillonnée, glabre. Feuilles","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2095," basales^oblongues,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2096," obtuses ou triangulaires,","Font: 'Times-Roman' (serifed, proportional), size 10.9725, color #000000"
2097,"arrondies ou cordées à la base, atteignant 25 cm. sur 6, longuement pétiolées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2098,"Feuilles caulinaires décroissantes. Fleurs en verticillastres plus ou moins distants,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2099,"paniculés, tous espacés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2100, multiflores.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2101, Pédoncules,"Font: 'Times-Roman' (serifed, proportional), size 10.9561, color #000000"
2102, fructifères articulés au-dessus du,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2103,"milieu, assez grêles,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2104," récurvés,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2105, égalant le périanthe. Sépales externes linéaires-,"Font: 'Times-Roman' (serifed, proportional), size 10.943, color #000000"
2106,"lancéolés, apprimés, bien plus courts que les valves. Celles-ci oblongues, étroites,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2107,"obtuses,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2108, 2,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2109," -3 mm., entières, toutes pourvues d'une grosse callosité ovale ou","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
2110,"oblongue, lisse, jaunâtre, très saillante.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2111,"Floraison: avril-juillet. Lieux humides, bords des canaux et fossés pleins d'eau. Commune.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
2112,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2113, Ct.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2114," Tyr (Mt), Beyrouth (Pr, Bl, Np, Mt), Tripoli (Bl).","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2115, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2116," Ghazir (Bertschinger), Sofar","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2117,"(Pr), Bhamdoun à Bteter (Bertschinger), Bikfaya (Bl), Beskinta (Mt).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2118, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2119," Falougha (Mt), entre","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2120,"Hasroun et Beqa' Kafra (Zoh), Hasroun, Dimane (Bl).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2121, Met.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2122," Qabbélias (P, sous","Font: 'Times-Italic' (italic, serifed, proportional), size 10.0641, color #000000"
2123, nemorosus,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2124," Schrad.),","Font: 'Times-Italic' (italic, serifed, proportional), size 10, color #000000"
2125,"Beqa'a (Pr), Zahlé (P), source du Bardaouni (Mt).","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2126, Herm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2127, Ouadi Cheba'a,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.90954, color #000000"
2128," (Gaill,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2129, Eig).,"Font: 'Times-Roman' (serifed, proportional), size 9.95706, color #000000"
2130,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2131, Dam.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2132," Damas (Gaill),","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2133, Raboué,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2134, à Doummar (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
2135, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2136, Massiaf (Pb),"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2137, Sy.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2138," Homs,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2139, Hama (P).,"Font: 'Times-Roman' (serifed, proportional), size 9.92648, color #000000"
2140,Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2141, Slenfé (JL).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2142, NLatt.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2143, Froulok (Pb).,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.0438, color #000000"
2144, J.D.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2145, Soueida (Herbette).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2146, Sud.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2147, Banias (Aar).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2148,"Aire géogr. — Europe, Asie occidentale et centrale, Afrique du Nord. Introduite en Afrique","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2149,"du Sud, Amérique, Australie.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2150,Rumex nemorosus,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2151, Schrad. — Indication inexacte remontant à un mauvais classement par POST,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2152,d'un spécimen de l'espèce précédente.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2153,Rumex obtusifolius,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2154, L. — On attribuait jadis à cette espèce les récoltes de la suivante.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
2155,NOUVELLE FLORE ,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
2156,391,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 8.53509, color #000000"
2157,Rumex,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 8.53509, color #000000"
2158, chalepensis,"Font: 'VHVHMH+Times-Bold' (serifed, proportional, bold), size 10.8833, color #000000"
2159, Mill.,"Font: 'VHVHMH+Times-Bold' (serifed, proportional, bold), size 10.8403, color #000000"
2160, 1758,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.6603, color #000000"
2161, —,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.6525, color #000000"
2162, R.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.3, color #000000"
2163, syriacus,"Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 10.6603, color #000000"
2164, Meissn. 1850,"Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 10.7438, color #000000"
2165, (PI.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.6603, color #000000"
2166," CXXIX,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.89251, color #000000"
2167, n. 3).,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.6731, color #000000"
2168,—,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.6603, color #000000"
2169, 2J..,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.3, color #000000"
2170," Tige dressée, sillonnée, pouvant dépasser 1 m., généralement rameuse à partir","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4396, color #000000"
2171,"du milieu. Feuilles basales cordées à la base, oblongues ou","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2172," oblongues-ovales,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2173, 2-3,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.5227, color #000000"
2174,"fois plus longues que larges, atteignant 20 cm. sur 8. Feuilles caulinaires cordées","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2175,"à la base, ovales ou ovales-lancéolées. Verticillastres presque tous distants, multi-","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2176,"flores, les inférieurs","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2177," feuilles,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2178," formant une panicule ouverte, lâche. Pédicelles fructi-","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.5772, color #000000"
2179,"fères articulés au-dessus du milieu, brusquement épaissis à la base du périanthe.","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2180,Sépales externes,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2181, 1,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2182, ,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.1343, color #000000"
2183,"de long, aigus. Valves 5-7 mm. de long, arrondies-cordées,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2184,"obtuses ou aiguës à l'apex, portant le plus souvent à la marge 4-9 dents de longueur","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2185,variable. Sommet des valves entier. Surface réticulée très régulièrement jusqu'au,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2186,"sommet. Callosité ordinairement à toutes les valves, lisse ou un peu rugueuse,,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2187,2 mm. de long.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2188,Floraison:,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2189, mai-juillet.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.92131, color #000000"
2190, Lieux un peu humides.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.99132, color #000000"
2191,L.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.92131, color #000000"
2192, Mi.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.90719, color #000000"
2193," Faraya (Sam, Mt), 'Aqoura (Gb),","Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 9.90719, color #000000"
2194, Hammana,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.90719, color #000000"
2195, (Gb).,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.74017, color #000000"
2196, Mm.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.90719, color #000000"
2197, Bân,"Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 9.90719, color #000000"
2198," (Bl),","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.90719, color #000000"
2199, Beqa' Safrein,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.79941, color #000000"
2200,"(Mt), Cèdres (Ky, Mt), Sannine (Bnm).","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.90719, color #000000"
2201, Met.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.8444, color #000000"
2202, Ksara (Mt).,"Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 10.0849, color #000000"
2203,S.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.8444, color #000000"
2204, St.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.86582, color #000000"
2205, Qara (Pb).,"Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 9.86582, color #000000"
2206,"Aire géogr. — Asie occidentale, centrale, Mandchourie, Cachemire.","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.86582, color #000000"
2207,Rumex,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.97825, color #000000"
2208, nepalensis,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.3515, color #000000"
2209, Spreng.,"Font: 'VHVHMH+Times-Bold' (serifed, proportional, bold), size 10.4025, color #000000"
2210, (PI.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2211," CXXIX, n. 2). —","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.89251, color #000000"
2212, ¾.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2213, Racines épaissies.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 11.785, color #000000"
2214,"Tige élevée, pouvant dépasser 1 m., rameuse, à rameaux","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2215, étalés-dressés.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2216, Feuilles,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.531, color #000000"
2217,"oblongues, les inférieures cordées à la base, pétiolées, un peu aiguës, les supérieures","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2218,"subsessiles, lancéolées, atténuées à la base. Verticillastres bien séparés. Pédicelles","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2219,"articulés au-dessus du milieu, à la fin","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2220," récurvés,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2221, égalant le fruit. Sépales externes,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4723, color #000000"
2222,"étalés, courts. Valves","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2223," ovales-orbiculaires,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2224," à nervures réticulées très saillantes, bor-","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.5044, color #000000"
2225,"dées d'une frange continue de nombreuses dents subulées, terminées par un crochet,","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2226,"portant, toutes les trois ou une seule, une callosité ovale, elle-même réticulée.","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2227,Floraison:,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.4025, color #000000"
2228, avril-juin.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.91768, color #000000"
2229, Lieux humides en montagne.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.0587, color #000000"
2230,L.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.91768, color #000000"
2231, Mi.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.89181, color #000000"
2232," Feitroun (Sam),","Font: 'CPDYZV+Times-Italic' (italic, serifed, proportional), size 9.89181, color #000000"
2233, 'Azibi,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.89181, color #000000"
2234, prèsjezzine,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.1674, color #000000"
2235," (Mt), Tourza (Bl),","Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 10.0262, color #000000"
2236, Bhamdoun,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.89181, color #000000"
2237, (Bnm).,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.81326, color #000000"
2238, Mm.,"Font: 'ETVWNV+Times-Roman' (serifed, proportional), size 9.89181, color #000000"
